name	admix.pop	latitude	longitude	ploidy_man_curated
MW0079553	MW0079553	72.96641	78.933523	2
MW0079609_4_4n	MW0079609	73.25255	90.598596	4
MW0079609_4n	MW0079609	73.25255	90.598596	4
MW0079609_3_4n	MW0079609	73.25255	90.598596	4
NT20.3-1	NT20	73.37268	126.45977	2
NT20.6-3	NT20	73.37268	126.45977	2
NT20.3-3	NT20	73.37268	126.45977	2
NT20.4-1	NT20	73.37268	126.45977	2
NT20.1-1	NT20	73.37268	126.45977	2
NT20.4-2	NT20	73.37268	126.45977	2
NT20.6-2	NT20	73.37268	126.45977	2
NT20.4-3	NT20	73.37268	126.45977	2
NT20.3-2	NT20	73.37268	126.45977	2
MW0079578-1_4n	MW0079578-1_4n	73.394991	80.694923	4
MW0079572-1_4n	MW0079572-1_4n	74.09224	97.49822	4
